Year	Candidate1	Candidate2	Party1	Party2	Winner	CampaignRaised1	CampaignRaised2	PopularVote1	PopularVote2	Incumbent
2016	Clinton H	Trump D	Democrat	Republican	Trump D	585699061.27	350668435.7	65844610	62979636	0
2012	Obama B	Romney M	Democrat	Republican	Obama B	742601914.88	483642897.19	65446032	60589084	1
2008	Obama B	McCain J	Democrat	Republican	Obama B	778642962.27	401537140.35	69456000	59934000	0
2004	Kerry J	Bush GW	Democrat	Republican	Bush GW	351598273.53	377846444.37	59028109	62028285	2
2000	Gore A	Bush GW	Democrat	Republican	Bush GW	133108037	193657728.8	50999897	50456002	0
1996	Clinton W	Dole R	Democrat	Republican	Clinton W	123935797	144270922.54	47402357	39198755	1
1992	Clinton W	Bush GH	Democrat	Republican	Clinton W	115261535	101936902	44909889	39104545	2
1988	Dukakis M	Bush GH	Democrat	Republican	Bush GH	90096557	91349615	41809074	48886097	0
1984	Mondale W	Reagan R	Democrat	Republican	Reagan R	82879728	76476619	37577185	54455075	2
1980	Carter J	Reagan R	Democrat	Republican	Reagan R	19828843	62944165	35480948	43642639	1
