year,state_name,state,candidate,party_name,candidatevotes,totalvotes,Won,party,StripName,LastName,CAND_NAME,CAND_ICI,TTL_RECEIPTS,Note
1980,Alabama,AL,Jeremiah Denton,republican,650362,1296757,1,REP,Jeremiah Denton,DENTON,"DENTON, JEREMIAH A",,648167,
1980,Alabama,AL,Jim Folsom Jr.,democrat,610175,1296757,0,DEM,Jim Folsom,FOLSOM,"FOLSOM, JIM JR",,228746,
1980,Alaska,AK,Frank H. Murkowski,republican,84159,156762,1,REP,Frank H. Murkowski,MURKOWSKI,"MURKOWSKI, FRANK H",,527206,
1980,Alaska,AK,Clark S. Gruening,democrat,72007,156762,0,DEM,Clark S. Gruening,GRUENING,"GRUENING, CLARK",,512411,
1980,Arizona,AZ,Barry Goldwater,republican,432371,874238,1,REP,Barry Goldwater,GOLDWATER,"GOLDWATER, BARRY M",I,908342,
1980,Arizona,AZ,Bill Schulz,democrat,422972,874238,0,DEM,Bill Schulz,SCHULZ,"SCHULZ, WILLIAM R",,1929670,
1980,Arkansas,AR,Dale Bumpers,democrat,477905,808812,1,DEM,Dale Bumpers,BUMPERS,"BUMPERS, DALE",I,299465,
1980,Arkansas,AR,Bill Clark,republican,330576,808812,0,REP,Bill Clark,CLARK,"CLARK, WILLIAM PENN",,119121,
1980,California,CA,Alan Cranston,democrat,4704098,8324012,1,DEM,Alan Cranston,CRANSTON,"CRANSTON, ALAN",I,3096494,
1980,California,CA,Paul Gann,republican,3091671,8324012,0,REP,Paul Gann,GANN,"GANN, PAUL",,1208851,
1980,Colorado,CO,Gary Hart,democrat,590501,1173142,1,DEM,Gary Hart,HART,"HART, GARY W",I,1018226,
1980,Colorado,CO,Mary Estill Buchanan,republican,571295,1173142,0,REP,Mary Estill Buchanan,BUCHANAN,"BUCHANAN, MARY ESTILL",,1155318,
1980,Connecticut,CT,Christopher J. Dodd,democrat,763969,1356075,1,DEM,Christopher J. Dodd,DODD,"DODD, CHRISTOPHER JOHN",O,1400991,
1980,Connecticut,CT,James L. Buckley,republican,581884,1356075,0,REP,James L. Buckley,BUCKLEY,"BUCKLEY, JAMES LANE",O,1328599,
1980,Florida,FL,Paula Hawkins,republican,1822460,3528028,1,REP,Paula Hawkins,HAWKINS,"HAWKINS, PAULA",,888986,
1980,Florida,FL,Bill Gunter,democrat,1705409,3528028,0,DEM,Bill Gunter,GUNTER,"GUNTER, BILL",,2166729,
1980,Georgia,GA,Mack Mattingly,republican,803686,1579829,1,REP,Mack Mattingly,MATTINGLY,"MATTINGLY,MACK F",,661811,
1980,Georgia,GA,Herman E. Talmadge,democrat,776143,1579829,0,DEM,Herman E. Talmadge,TALMADGE,"TALMADGE, HERMAN EUGENE",I,2172441,
1980,Hawaii,HI,Daniel K. Inouye,democrat,224485,288006,1,DEM,Daniel K. Inouye,INOUYE,"INOUYE, DANIEL K",I,747213,
1980,Hawaii,HI,Cooper Brown,republican,53068,288006,0,REP,Cooper Brown,BROWN,"BROWN, E COOPER",,14639,
1980,Idaho,ID,Steve Symms,republican,218701,439647,1,REP,Steve Symms,SYMMS,"SYMMS, STEVE",,1537210,
1980,Idaho,ID,Frank Church,democrat,214439,439647,0,DEM,Frank Church,CHURCH,"CHURCH, FRANK",I,1728147,
1980,Illinois,IL,Alan J. Dixon,democrat,2565302,4580029,1,DEM,Alan J. Dixon,DIXON,"DIXON, ALAN J",O,2396908,
1980,Illinois,IL,David C. O'Neal,republican,1946296,4580029,0,REP,David C. O'Neal,NEAL,,,1316635,
1980,Indiana,IN,Dan Quayle,republican,1182414,2198376,1,REP,Dan Quayle,QUAYLE,"QUAYLE, DAN",,2313416,
1980,Indiana,IN,Birch Bayh,democrat,1015962,2198376,0,DEM,Birch Bayh,BAYH,"BAYH, BIRCH E. JR.",I,2213427,
1980,Iowa,IA,Charles E. Grassley,republican,683014,1276986,1,REP,Charles E. Grassley,GRASSLEY,"GRASSLEY, CHARLES E",,1645089,
1980,Iowa,IA,John Culver,democrat,581545,1276986,0,DEM,John Culver,CULVER,"CULVER, JOHN C.",I,1775398,
1980,Kansas,KS,Bob Dole,republican,598686,938957,1,REP,Bob Dole,DOLE,"DOLE, ROBERT",I,899400,
1980,Kansas,KS,John Simpson,democrat,340271,938957,0,DEM,John Simpson,SIMPSON,"SIMPSON, JOHN",,340147,
1980,Kentucky,KY,Wendell H. Ford,democrat,720891,1106920,1,DEM,Wendell H. Ford,FORD,"FORD, WENDELL H.",I,571844,
1980,Kentucky,KY,Mary Louise Foust,republican,386029,1106920,0,REP,Mary Louise Foust,FOUST,"FOUST, MARY LOUISE",,3997,
1980,Louisiana,LA,Russell B. Long,democrat,484770,841013,1,DEM,Russell B. Long,LONG,"LONG, RUSSELL B",I,1483275,
1980,Louisiana,LA,Louis Woody Jenkins,democrat,325922,841013,0,DEM,Louis Woody Jenkins,JENKINS,"JENKINS, LOUIS E. JR.",,236835,
1980,Maryland,MD,Charles McC. Mathias Jr. ,republican,850970,1286088,1,REP,Charles McC. Mathias,MATHIAS,"MATHIAS, CHARLES MCC. JR.",I,874995,
1980,Maryland,MD,Edward T. Conroy,democrat,435118,1286088,0,DEM,Edward T. Conroy,CONROY,"CONROY, EDWARD THOMAS",,160587,
1980,Missouri,MO,Thomas F. Eagleton,democrat,1074859,2066965,1,DEM,Thomas F. Eagleton,EAGLETON,"EAGLETON, THOMAS F.",I,1023085,
1980,Missouri,MO,Gene McNary,republican,985399,2066965,0,REP,Gene McNary,MCNARY,"MCNARY, GENE",,815417,
1980,Nevada,NV,Paul Laxalt,republican,144224,243273,1,REP,Paul Laxalt,LAXALT,"LAXALT, PAUL",I,1196599,
1980,Nevada,NV,Mary Gojack,democrat,92129,243273,0,DEM,Mary Gojack,GOJACK,"GOJACK, MARY L",,286262,
1980,New Hampshire,NH,Warren Rudman,republican,195559,375060,1,REP,Warren Rudman,RUDMAN,"RUDMAN, WARREN B",,635272,
1980,New Hampshire,NH,John A. Durkin,democrat,179455,375060,0,DEM,John A. Durkin,DURKIN,"DURKIN, JOHN ANTHONY",I,677975,
1980,New York,NY,Elizabeth Holtzman,democrat,2618661,6014914,1,DEM,Elizabeth Holtzman,HOLTZMAN,"HOLTZMAN, ELIZABETH",,1869183,
1980,New York,NY,Alfonse M. D'Amato,republican,2272082,6014914,0,REP,Alfonse M. D'Amato,AMATO,,,1554064,
1980,North Carolina,NC,John P. East,republican,898064,1797665,1,REP,John P. East,EAST,"EAST, JOHN P.",,1332565,
1980,North Carolina,NC,Robert Morgan,democrat,887653,1797665,0,DEM,Robert Morgan,MORGAN,"MORGAN, ROBERT B.",I,891297,
1980,Ohio,OH,John Glenn,democrat,2770786,4027303,1,DEM,John Glenn,GLENN,"GLENN, JOHN",I,1245719,
1980,Ohio,OH,James E. Betts,republican,1137695,4027303,0,REP,James E. Betts,BETTS,"BETTS, JAMES E",,431344,
1980,Oklahoma,OK,Don Nickles,republican,587252,1098294,1,REP,Don Nickles,NICKLES,"NICKLES, DONALD LEE",O,925097,
1980,Oklahoma,OK,Andy Coats,democrat,478283,1098294,0,DEM,Andy Coats,COATS,"COATS, ANDY",O,799950,
1980,Oregon,OR,Bob Packwood,republican,594290,1140494,1,REP,Bob Packwood,PACKWOOD,"PACKWOOD, BOB",I,1475510,
1980,Oregon,OR,Ted Kulongoski,democrat,501963,1140494,0,DEM,Ted Kulongoski,KULONGOSKI,"KULONGOSKI, TED",,199632,
1980,Pennsylvania,PA,Arlen Specter,republican,2230404,4418042,1,REP,Arlen Specter,SPECTER,"SPECTER, ARLEN",O,1512342,
1980,Pennsylvania,PA,Pete Flaherty,democrat,2122391,4418042,0,DEM,Pete Flaherty,FLAHERTY,"FLAHERTY, PETE",O,507754,
1980,South Carolina,SC,Ernest Fritz Hollings,democrat,612554,870500,1,DEM,Ernest Fritz Hollings,HOLLINGS,"HOLLINGS, ERNEST F.",I,810270,
1980,South Carolina,SC,Marshall Mays,republican,257946,870500,0,REP,Marshall Mays,MAYS,"MAYS, MARSHALL TRAMMELL",,61838,
1980,South Dakota,SD,James Abdnor,republican,190594,327478,1,REP,James Abdnor,ABDNOR,"ABDNOR, JAMES",,1814124,
1980,South Dakota,SD,George McGovern,democrat,129018,327478,0,DEM,George McGovern,MCGOVERN,"MCGOVERN, GEORGE",I,3136721,
1980,Utah,UT,Jake Garn,republican,437675,594298,1,REP,Jake Garn,GARN,"GARN, E. J. JAKE",I,1125402,
1980,Utah,UT,Dan Berman,democrat,151454,594298,0,DEM,Dan Berman,BERMAN,"BERMAN, DANIEL LEWIS",,264120,
1980,Vermont,VT,Patrick J. Leahy,democrat,104176,209124,1,DEM,Patrick J. Leahy,LEAHY,"LEAHY, PATRICK J.",I,410244,
1980,Vermont,VT,Stewart M. Ledbetter,republican,101421,209124,0,REP,Stewart M. Ledbetter,LEDBETTER,"LEDBETTER, STEWART",,481174,
1980,Washington,WA,Slade Gorton,republican,936317,1728369,1,REP,Slade Gorton,GORTON,"GORTON, SLADE",,709165,
1980,Washington,WA,Warren G. Magnuson,democrat,792052,1728369,0,DEM,Warren G. Magnuson,MAGNUSON,"MAGNUSON, WARREN G",I,998609,
1980,Wisconsin,WI,Robert W. Kasten Jr.,republican,1106311,2204202,1,REP,Robert W. Kasten,KASTEN,"KASTEN, ROBERT JR",,725281,
1980,Wisconsin,WI,Gaylord A. Nelson,democrat,1065487,2204202,0,DEM,Gaylord A. Nelson,NELSON,"NELSON, GAYLORD A.",I,788112,
1984,Alabama,AL,Howell Heflin,democrat,860535,1371234,1,DEM,Howell Heflin,HEFLIN,"HEFLIN, HOWELL THOMAS",I,2247582,
1984,Alabama,AL,Albert Lee Smith,republican,498508,1371234,0,REP,Albert Lee Smith,SMITH,"SMITH, ALBERT LEE JR",C,584002,
1984,Alaska,AK,Ted Stevens,republican,146919,206438,1,REP,Ted Stevens,STEVENS,"STEVENS, TED",I,1331218,
1984,Alaska,AK,John E. Havelock,democrat,58804,206438,0,DEM,John E. Havelock,HAVELOCK,"HAVELOCK, JOHN ERIC",,92982,
1984,Arkansas,AR,David Pryor,democrat,502341,875956,1,DEM,David Pryor,PRYOR,"PRYOR, DAVID HAMPTON",I,1910676,
1984,Arkansas,AR,Ed Bethune,republican,373615,875956,0,REP,Ed Bethune,BETHUNE,"BETHUNE, ED",,1076792,
1984,Colorado,CO,"William L. ""Bill"" Armstrong",republican,833821,1297809,1,REP,"William L. ""Bill"" Armstrong",ARMSTRONG,"ARMSTRONG, WILLIAM L",I,3105821,
1984,Colorado,CO,Nancy Dick,democrat,449327,1297809,0,DEM,Nancy Dick,DICK,"DICK, NANCY",C,960117,
1984,Delaware,DE,Joseph R. Biden Jr.,democrat,147831,245932,1,DEM,Joseph R. Biden,BIDEN,"BIDEN, JOSEPH",I,1429164,
1984,Delaware,DE,John M. Burris,republican,98101,245932,0,REP,John M. Burris,BURRIS,"BURRIS, JOHN M",,817586,
1984,Georgia,GA,Sam Nunn,democrat,1344104,1681344,1,DEM,Sam Nunn,NUNN,"NUNN, SAM",I,1292637,
1984,Georgia,GA,Mike Hicks,republican,337196,1681344,0,REP,Mike Hicks,HICKS,"HICKS, JON MICHAEL",,-1,
1984,Idaho,ID,James A. McClure,republican,293193,406168,1,REP,James A. McClure,MCCLURE,"MCCLURE, JAMES A",I,1268707,
1984,Idaho,ID,Peter M. Busch,democrat,105591,406168,0,DEM,Peter M. Busch,BUSCH,"BUSCH, PETER MARTIN",,30777,
